id,file,dataset,kind,description,source,history,licence,credit,ships_in_installer,cleared,notes
DR-01,backend/projects/bev-car.json,*,example-project,"Battery Electric Car example: topology, two cases on the default speed profile (DR-06: 'City Cycle', 600 s, plus a live 10x copy) and per-wheel load shares (front 27.5 %, rear 22.5 %). Every other value is a component default (DR-04 to DR-17).",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; later commits (a0baee8, 4af7f9c) only added the description and schemaVersion.",Unknown (not recorded),None recorded,yes,pending,"A generic car, not a named model (roadmap research, examples-docs.md). Its copy frontend/src/data/demoProject.json (DR-19) is the UI's offline fallback. CON-03 plans to rebase it on a real, sourced car: give that data its own rows. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source."
DR-02,backend/projects/hybrid-car.json,*,example-project,"P2 Hybrid Car example: topology, hybrid control script, 12 kWh battery at 55 % SOC, final drive 4.1, per-wheel load shares and two cases on the 'Mixed Cycle' profile (DR-03). Every other value is a component default (DR-04 to DR-17).",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; later commits (a0baee8, 4af7f9c) only added the description and schemaVersion.",Unknown (not recorded),None recorded,yes,pending,Ships in the engine bundle only (the UI's offline fallback is the BEV). Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-03,backend/projects/hybrid-car.json,el-task.profile,drive-cycle,"'Mixed Cycle' speed profile: 9 points, 0-90 km/h over 600 s ('0:0; 20:50; 120:50; 150:90; 330:90; 360:50; 500:50; 560:0; 600:0').",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,"The roadmap research (examples-docs.md, ux-workflows.md) calls it a bespoke hand-made trapezoid with no regulatory meaning. Nine round-number points: not a published cycle such as WLTC or an EPA schedule (those are 1 Hz traces). Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source."
DR-04,backend/app/library/components.json,*,component-defaults,"Component catalogue (32 components): ports, parameter definitions and scalar defaults, e.g. vehicle 1800 kg, cd 0.28, 2.2 m2; tyre radius 0.33 m, rolling resistance 0.012, friction 1.0, slip stiffness 10; battery 60 kWh, 0.08 ohm; driver gains 0.35/0.08; petrol density 0.745 kg/l. Maps, curves and profiles have their own rows (DR-05 to DR-17).",Provenance unknown,"Current values first committed in 064301a 'Second version' (Eyad, 2026-07-07) with no source notes; the fuel density was added in 4af7f9c (Phase 0). An earlier, separate history (2a77b12, a Claude Code session, 2026-07-03) had a 14-component catalogue without these values.",Unknown (not recorded),None recorded,yes,pending,"The roadmap research (examples-docs.md, models-library.md) found generic defaults with no provenance. The fuel density is a textbook property of petrol. Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source."
DR-05,backend/app/library/components.json,battery.generic.ocv_table,curve,"HV battery open-circuit voltage vs SOC: 8 points, 300-376 V over 0-100 %.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-06,backend/app/library/components.json,signal.driving_task.profile,drive-cycle,"Default speed profile, used as the BEV example's 'City Cycle': 9 points, 0-80 km/h over 600 s ('0:0; 30:50; 120:50; 150:80; 300:80; 330:30; 480:30; 540:0; 600:0').",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,"The roadmap research (ux-workflows.md, examples-docs.md) calls it a hand-made 9-point trapezoid with no regulatory meaning; not a published cycle. Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source."
DR-07,backend/app/library/components.json,signal.road_profile.profile,grade-profile,"Default road grade vs distance: 6 points, 0 to +3 % to -3 % over 4 km ('0:0; 500:3; 1500:3; 2000:0; 3000:-3; 4000:0').",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-08,backend/app/library/components.json,motor.emotor.full_load_torque,map,"E-motor full-load torque vs DC voltage (250/330/396 V) and speed (16 points, 0-12,000 rpm); 345.6 N m peak.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,The roadmap research (models-library.md) found it plausible for a ~130 kW machine. Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-09,backend/app/library/components.json,motor.emotor.power_loss,map,"E-motor plus inverter power loss vs speed (0-12,000 rpm, 5 points) and torque (0-350 N m, 4 points), kW.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
DR-10,backend/app/library/components.json,motor.emotor.drag_torque,curve,"E-motor drag torque vs speed: 5 points, 0-6 N m up to 12,000 rpm.",Provenance unknown,"First committed in 064301a 'Second version' (Eyad, 2026-07-07), the root of the main history, which imported the whole app with no source notes; unchanged since.",Unknown (not recorded),None recorded,yes,pending,Also inlined in the UI bundle through DR-18. Owner to confirm it was written for SimStudio (then record 'Synthetic / created for SimStudio' and the SimStudio LICENSE) or name its source.
